ID,Target,Source,Constraint,B/F Relationship,Comment,Is Implemented,Custom Query
19,"['D01r1', 'D01r2', 'D01r3', 'D01r4', 'D01r5', 'D01r6', 'D01r7', 'D01r8', 'D01r99']",hQuota,Block/Force,Single to Multi,Block D01r if hQuota ≠ Fine Jewelry Buyer,Yes,
20,"['D03r1', 'D03r10', 'D03r11', 'D03r12', 'D03r13', 'D03r15', 'D03r16', 'D03r17', 'D03r18', 'D03r19', 'D03r2', 'D03r20', 'D03r21', 'D03r22', 'D03r3', 'D03r4', 'D03r5', 'D03r6', 'D03r7', 'D03r8', 'D03r9', 'D03r99']",hQuota,Block/Force,Single to Multi,Block D03r if hQuota ≠ Fine Jewelry Buyer,Yes,
21,"['D07r1', 'D07r10', 'D07r11', 'D07r12', 'D07r13', 'D07r14', 'D07r15', 'D07r16', 'D07r17', 'D07r2', 'D07r3', 'D07r4', 'D07r5', 'D07r6', 'D07r7', 'D07r8', 'D07r9', 'D07r98']",hQuota,Block/Force,Single to Multi,Block D07r if hQuota ≠ Fine Jewelry Buyer,Yes,
22,"['D09r1', 'D09r2', 'D09r3', 'D09r4', 'D09r5', 'D09r6', 'D09r7', 'D09r8']",hQuota,Block/Force,Single to Multi,Block D09r if hQuota ≠ Fine Jewelry Buyer,Yes,
23,"['D19r1', 'D19r10', 'D19r11', 'D19r12', 'D19r2', 'D19r3', 'D19r4', 'D19r5', 'D19r6', 'D19r7', 'D19r8', 'D19r9', 'D19r99']",hQuota,Block/Force,Single to Multi,Block D19r if hQuota ≠ Fine Jewelry Buyer,Yes,
24,"['D21r1', 'D21r10', 'D21r11', 'D21r12', 'D21r13', 'D21r14', 'D21r15', 'D21r16', 'D21r17', 'D21r18', 'D21r19', 'D21r2', 'D21r20', 'D21r21', 'D21r22', 'D21r23', 'D21r24', 'D21r25', 'D21r26', 'D21r27', 'D21r28', 'D21r3', 'D21r4', 'D21r5', 'D21r6', 'D21r7', 'D21r8', 'D21r9', 'D21r98', 'D21r99']",hQuota,Block/Force,Single to Multi,Block D21r if hQuota ≠ Fine Jewelry Buyer,Yes,
25,"['D27r1', 'D27r2', 'D27r3', 'D27r4']",hQuota,Block/Force,Single to Multi,Block D27r if hQuota ≠ Fine Jewelry Buyer,Yes,
26,"['D31r1', 'D31r2', 'D31r3', 'D31r4']",hQuota,Block/Force,Single to Multi,Block D31r if hQuota ≠ Fine Jewelry Buyer,Yes,
27,"['D32r1', 'D32r2', 'D32r3', 'D32r4', 'D32r5', 'D32r6']",hQuota,Block/Force,Single to Multi,Block D32r if hQuota ≠ Fine Jewelry Buyer,Yes,
28,"['E01r1', 'E01r10', 'E01r11', 'E01r12', 'E01r13', 'E01r14', 'E01r15', 'E01r16', 'E01r17', 'E01r18', 'E01r19', 'E01r2', 'E01r20', 'E01r21', 'E01r22', 'E01r23', 'E01r24', 'E01r25', 'E01r26', 'E01r27', 'E01r28', 'E01r29', 'E01r3', 'E01r30', 'E01r4', 'E01r5', 'E01r6', 'E01r7', 'E01r8', 'E01r9', 'E01r99']",hQuota,Block/Force,Single to Multi,Block E01r if hQuota ≠ Fine Jewelry Buyer,Yes,
29,"['E02r1', 'E02r10', 'E02r11', 'E02r12', 'E02r13', 'E02r14', 'E02r15', 'E02r16', 'E02r17', 'E02r18', 'E02r19', 'E02r2', 'E02r20', 'E02r21', 'E02r22', 'E02r23', 'E02r24', 'E02r25', 'E02r26', 'E02r27', 'E02r28', 'E02r29', 'E02r3', 'E02r30', 'E02r4', 'E02r5', 'E02r6', 'E02r7', 'E02r8', 'E02r9', 'E02r98', 'E02r99']",hQuota,Block/Force,Single to Multi,Block E02r if hQuota ≠ Fine Jewelry Buyer,Yes,
30,"['E03r1', 'E03r2', 'E03r3', 'E03r4']",hQuota,Block/Force,Single to Multi,Block E03r if hQuota ≠ Fine Jewelry Buyer,Yes,
31,"['E04r1', 'E04r10', 'E04r11', 'E04r12', 'E04r13', 'E04r14', 'E04r15', 'E04r16', 'E04r17', 'E04r2', 'E04r3', 'E04r4', 'E04r5', 'E04r6', 'E04r7', 'E04r8', 'E04r9']",hQuota,Block/Force,Single to Multi,Block E04r if hQuota ≠ Fine Jewelry Buyer,Yes,
32,"['E05r1', 'E05r10', 'E05r11', 'E05r12', 'E05r13', 'E05r14', 'E05r15', 'E05r2', 'E05r3', 'E05r4', 'E05r5', 'E05r6', 'E05r7', 'E05r8', 'E05r9']",hQuota,Block/Force,Single to Multi,Block E05r if hQuota ≠ Fine Jewelry Buyer,Yes,
33,"['E06r1', 'E06r2', 'E06r3', 'E06r4', 'E06r5', 'E06r6', 'E06r7', 'E06r8', 'E06r9']",hQuota,Block/Force,Single to Multi,Block E06r if hQuota ≠ Fine Jewelry Buyer,Yes,
34,"['E07r1', 'E07r10', 'E07r11', 'E07r12', 'E07r13', 'E07r14', 'E07r15', 'E07r16', 'E07r17', 'E07r18', 'E07r19', 'E07r2', 'E07r20', 'E07r21', 'E07r22', 'E07r23', 'E07r24', 'E07r25', 'E07r26', 'E07r27', 'E07r28', 'E07r29', 'E07r3', 'E07r30', 'E07r4', 'E07r5', 'E07r6', 'E07r7', 'E07r8', 'E07r9', 'E07r99']",hQuota,Block/Force,Single to Multi,Block E07r if hQuota ≠ Fine Jewelry Buyer,Yes,
35,"['E08r1', 'E08r10', 'E08r11', 'E08r12', 'E08r13', 'E08r14', 'E08r15', 'E08r16', 'E08r17', 'E08r18', 'E08r2', 'E08r3', 'E08r4', 'E08r5', 'E08r6', 'E08r7', 'E08r8', 'E08r9', 'E08r99']",hQuota,Block/Force,Single to Multi,Block E08r if hQuota ≠ Fine Jewelry Buyer,Yes,
36,"['E09r1', 'E09r10', 'E09r11', 'E09r2', 'E09r3', 'E09r4', 'E09r5', 'E09r6', 'E09r7', 'E09r8', 'E09r9']",hQuota,Block/Force,Single to Multi,Block E09r if hQuota ≠ Fine Jewelry Buyer,Yes,
37,"['F01r1', 'F01r10', 'F01r11', 'F01r12', 'F01r13', 'F01r14', 'F01r15', 'F01r16', 'F01r17', 'F01r18', 'F01r19', 'F01r2', 'F01r20', 'F01r21', 'F01r22', 'F01r23', 'F01r24', 'F01r25', 'F01r26', 'F01r27', 'F01r28', 'F01r29', 'F01r3', 'F01r30', 'F01r4', 'F01r5', 'F01r6', 'F01r7', 'F01r8', 'F01r9', 'F01r98', 'F01r99']",hQuota,Block/Force,Single to Multi,Block F01r if hQuota ≠ Gen Pop,Yes,
38,"['F02r1', 'F02r10', 'F02r11', 'F02r12', 'F02r13', 'F02r14', 'F02r15', 'F02r16', 'F02r17', 'F02r2', 'F02r3', 'F02r4', 'F02r5', 'F02r6', 'F02r7', 'F02r8', 'F02r9']",hQuota,Block/Force,Single to Multi,Block F02r if hQuota ≠ Gen Pop,Yes,
39,"['F03r1', 'F03r10', 'F03r11', 'F03r12', 'F03r13', 'F03r14', 'F03r15', 'F03r16', 'F03r17', 'F03r18', 'F03r19', 'F03r2', 'F03r20', 'F03r21', 'F03r22', 'F03r23', 'F03r24', 'F03r25', 'F03r26', 'F03r27', 'F03r28', 'F03r29', 'F03r3', 'F03r30', 'F03r4', 'F03r5', 'F03r6', 'F03r7', 'F03r8', 'F03r9', 'F03r99']",hQuota,Block/Force,Single to Multi,Block F03r if hQuota ≠ Gen Pop,Yes,
40,"['F04r1', 'F04r10', 'F04r11', 'F04r12', 'F04r13', 'F04r14', 'F04r15', 'F04r16', 'F04r17', 'F04r18', 'F04r19', 'F04r2', 'F04r20', 'F04r21', 'F04r22', 'F04r23', 'F04r24', 'F04r25', 'F04r26', 'F04r27', 'F04r28', 'F04r3', 'F04r4', 'F04r5', 'F04r6', 'F04r7', 'F04r8', 'F04r9', 'F04r98', 'F04r99']",hQuota,Block/Force,Single to Multi,Block F04r if hQuota ≠ Gen Pop,Yes,
41,"['F06r1', 'F06r2', 'F06r3', 'F06r4']",hQuota,Block/Force,Single to Multi,Block F06r if hQuota ≠ Gen Pop,Yes,
42,"['C08r1', 'C08r2', 'C08r3', 'C08r4', 'C08r5', 'C08r6', 'C08r98']","['C05r1', 'C05r2', 'C05r3', 'C05r4', 'C05r5', 'C05r6', 'C05r98']",Parallel Piping,,"If C05r = 0.0, block C08r.",Yes,
43,"['D23r1', 'D23r10', 'D23r11', 'D23r12', 'D23r13', 'D23r14', 'D23r15', 'D23r16', 'D23r17', 'D23r18', 'D23r19', 'D23r2', 'D23r20', 'D23r21', 'D23r22', 'D23r23', 'D23r24', 'D23r25', 'D23r26', 'D23r27', 'D23r28', 'D23r3', 'D23r4', 'D23r5', 'D23r6', 'D23r7', 'D23r8', 'D23r9', 'D23r98', 'D23r99']","['D21r1', 'D21r10', 'D21r11', 'D21r12', 'D21r13', 'D21r14', 'D21r15', 'D21r16', 'D21r17', 'D21r18', 'D21r19', 'D21r2', 'D21r20', 'D21r21', 'D21r22', 'D21r23', 'D21r24', 'D21r25', 'D21r26', 'D21r27', 'D21r28', 'D21r3', 'D21r4', 'D21r5', 'D21r6', 'D21r7', 'D21r8', 'D21r9', 'D21r98', 'D21r99']",Parallel Piping,,Parallel Piping,Yes,
44,"['D34r1', 'D34r10', 'D34r11', 'D34r12', 'D34r13', 'D34r14', 'D34r15', 'D34r16', 'D34r17', 'D34r18', 'D34r19', 'D34r2', 'D34r20', 'D34r21', 'D34r22', 'D34r23', 'D34r24', 'D34r25', 'D34r26', 'D34r27', 'D34r28', 'D34r3', 'D34r4', 'D34r5', 'D34r6', 'D34r7', 'D34r8', 'D34r9', 'D34r98', 'D34r99']","['D21r1', 'D21r10', 'D21r11', 'D21r12', 'D21r13', 'D21r14', 'D21r15', 'D21r16', 'D21r17', 'D21r18', 'D21r19', 'D21r2', 'D21r20', 'D21r21', 'D21r22', 'D21r23', 'D21r24', 'D21r25', 'D21r26', 'D21r27', 'D21r28', 'D21r3', 'D21r4', 'D21r5', 'D21r6', 'D21r7', 'D21r8', 'D21r9', 'D21r98', 'D21r99']",Parallel Piping,,Parallel Piping,Yes,
45,"['D36r1', 'D36r10', 'D36r11', 'D36r12', 'D36r13', 'D36r14', 'D36r15', 'D36r16', 'D36r17', 'D36r18', 'D36r19', 'D36r2', 'D36r20', 'D36r21', 'D36r22', 'D36r23', 'D36r24', 'D36r25', 'D36r26', 'D36r27', 'D36r28', 'D36r3', 'D36r4', 'D36r5', 'D36r6', 'D36r7', 'D36r8', 'D36r89', 'D36r9', 'D36r97', 'D36r98', 'D36r99']","['D23r1', 'D23r10', 'D23r11', 'D23r12', 'D23r13', 'D23r14', 'D23r15', 'D23r16', 'D23r17', 'D23r18', 'D23r19', 'D23r2', 'D23r20', 'D23r21', 'D23r22', 'D23r23', 'D23r24', 'D23r25', 'D23r26', 'D23r27', 'D23r28', 'D23r3', 'D23r4', 'D23r5', 'D23r6', 'D23r7', 'D23r8', 'D23r9', 'D23r98', 'D23r99']",Parallel Piping,,"If 23r is chosen with ""No To"", block else force.",Yes,
46,"['F05r1', 'F05r10', 'F05r11', 'F05r12', 'F05r13', 'F05r14', 'F05r15', 'F05r16', 'F05r17', 'F05r18', 'F05r19', 'F05r2', 'F05r20', 'F05r21', 'F05r22', 'F05r23', 'F05r24', 'F05r25', 'F05r26', 'F05r27', 'F05r28', 'F05r3', 'F05r4', 'F05r5', 'F05r6', 'F05r7', 'F05r8', 'F05r9', 'F05r98', 'F05r99']","['F04r1', 'F04r10', 'F04r11', 'F04r12', 'F04r13', 'F04r14', 'F04r15', 'F04r16', 'F04r17', 'F04r18', 'F04r19', 'F04r2', 'F04r20', 'F04r21', 'F04r22', 'F04r23', 'F04r24', 'F04r25', 'F04r26', 'F04r27', 'F04r28', 'F04r3', 'F04r4', 'F04r5', 'F04r6', 'F04r7', 'F04r8', 'F04r9', 'F04r98', 'F04r99']",Parallel Piping,,Parallel Piping,Yes,
47,A07r99,"['A07r1', 'A07r10', 'A07r11', 'A07r2', 'A07r3', 'A07r4', 'A07r5', 'A07r6', 'A07r7', 'A07r8', 'A07r9', 'A07r99']",None of the above,,,Yes,
48,A15r99,"['A15r1', 'A15r2', 'A15r3', 'A15r4', 'A15r5', 'A15r6', 'A15r7', 'A15r8', 'A15r99']",None of the above,,,Yes,
49,A27r99,"['A27r1', 'A27r2', 'A27r3', 'A27r4', 'A27r5', 'A27r6', 'A27r99']",None of the above,,,Yes,
50,B01r99,"['B01r1', 'B01r10', 'B01r2', 'B01r3', 'B01r4', 'B01r5', 'B01r6', 'B01r7', 'B01r8', 'B01r9', 'B01r99']",None of the above,,,Yes,
51,C26r99,"['C26r1', 'C26r10', 'C26r11', 'C26r12', 'C26r13', 'C26r14', 'C26r2', 'C26r3', 'C26r4', 'C26r5', 'C26r6', 'C26r7', 'C26r8', 'C26r9', 'C26r99']",None of the above,,,Yes,
52,C28r99,"['C28r1', 'C28r10', 'C28r11', 'C28r12', 'C28r13', 'C28r14', 'C28r15', 'C28r16', 'C28r17', 'C28r18', 'C28r19', 'C28r2', 'C28r20', 'C28r21', 'C28r22', 'C28r23', 'C28r24', 'C28r25', 'C28r26', 'C28r3', 'C28r4', 'C28r5', 'C28r6', 'C28r7', 'C28r8', 'C28r9', 'C28r99']",None of the above,,,Yes,
53,D01r99,"['D01r1', 'D01r2', 'D01r3', 'D01r4', 'D01r5', 'D01r6', 'D01r7', 'D01r8', 'D01r99']",None of the above,,,Yes,
54,D03r99,"['D03r1', 'D03r10', 'D03r11', 'D03r12', 'D03r13', 'D03r15', 'D03r16', 'D03r17', 'D03r18', 'D03r19', 'D03r2', 'D03r20', 'D03r21', 'D03r22', 'D03r3', 'D03r4', 'D03r5', 'D03r6', 'D03r7', 'D03r8', 'D03r9', 'D03r99']",None of the above,,,Yes,
55,D19r99,"['D19r1', 'D19r10', 'D19r11', 'D19r12', 'D19r2', 'D19r3', 'D19r4', 'D19r5', 'D19r6', 'D19r7', 'D19r8', 'D19r9', 'D19r99']",None of the above,,,Yes,
56,D21r99,"['D21r1', 'D21r10', 'D21r11', 'D21r12', 'D21r13', 'D21r14', 'D21r15', 'D21r16', 'D21r17', 'D21r18', 'D21r19', 'D21r2', 'D21r20', 'D21r21', 'D21r22', 'D21r23', 'D21r24', 'D21r25', 'D21r26', 'D21r27', 'D21r28', 'D21r3', 'D21r4', 'D21r5', 'D21r6', 'D21r7', 'D21r8', 'D21r9', 'D21r98', 'D21r99']",None of the above,,,Yes,
57,D23r99,"['D23r1', 'D23r10', 'D23r11', 'D23r12', 'D23r13', 'D23r14', 'D23r15', 'D23r16', 'D23r17', 'D23r18', 'D23r19', 'D23r2', 'D23r20', 'D23r21', 'D23r22', 'D23r23', 'D23r24', 'D23r25', 'D23r26', 'D23r27', 'D23r28', 'D23r3', 'D23r4', 'D23r5', 'D23r6', 'D23r7', 'D23r8', 'D23r9', 'D23r98', 'D23r99']",None of the above,,,Yes,
58,D34r99,"['D34r1', 'D34r10', 'D34r11', 'D34r12', 'D34r13', 'D34r14', 'D34r15', 'D34r16', 'D34r17', 'D34r18', 'D34r19', 'D34r2', 'D34r20', 'D34r21', 'D34r22', 'D34r23', 'D34r24', 'D34r25', 'D34r26', 'D34r27', 'D34r28', 'D34r3', 'D34r4', 'D34r5', 'D34r6', 'D34r7', 'D34r8', 'D34r9', 'D34r98', 'D34r99']",None of the above,,,Yes,
59,D36r99,"['D36r1', 'D36r10', 'D36r11', 'D36r12', 'D36r13', 'D36r14', 'D36r15', 'D36r16', 'D36r17', 'D36r18', 'D36r19', 'D36r2', 'D36r20', 'D36r21', 'D36r22', 'D36r23', 'D36r24', 'D36r25', 'D36r26', 'D36r27', 'D36r28', 'D36r3', 'D36r4', 'D36r5', 'D36r6', 'D36r7', 'D36r8', 'D36r89', 'D36r9', 'D36r97', 'D36r98', 'D36r99']",None of the above,,,Yes,
60,E01r99,"['E01r1', 'E01r10', 'E01r11', 'E01r12', 'E01r13', 'E01r14', 'E01r15', 'E01r16', 'E01r17', 'E01r18', 'E01r19', 'E01r2', 'E01r20', 'E01r21', 'E01r22', 'E01r23', 'E01r24', 'E01r25', 'E01r26', 'E01r27', 'E01r28', 'E01r29', 'E01r3', 'E01r30', 'E01r4', 'E01r5', 'E01r6', 'E01r7', 'E01r8', 'E01r9', 'E01r99']",None of the above,,,Yes,
61,E02r99,"['E02r1', 'E02r10', 'E02r11', 'E02r12', 'E02r13', 'E02r14', 'E02r15', 'E02r16', 'E02r17', 'E02r18', 'E02r19', 'E02r2', 'E02r20', 'E02r21', 'E02r22', 'E02r23', 'E02r24', 'E02r25', 'E02r26', 'E02r27', 'E02r28', 'E02r29', 'E02r3', 'E02r30', 'E02r4', 'E02r5', 'E02r6', 'E02r7', 'E02r8', 'E02r9', 'E02r98', 'E02r99']",None of the above,,,Yes,
62,E07r99,"['E07r1', 'E07r10', 'E07r11', 'E07r12', 'E07r13', 'E07r14', 'E07r15', 'E07r16', 'E07r17', 'E07r18', 'E07r19', 'E07r2', 'E07r20', 'E07r21', 'E07r22', 'E07r23', 'E07r24', 'E07r25', 'E07r26', 'E07r27', 'E07r28', 'E07r29', 'E07r3', 'E07r30', 'E07r4', 'E07r5', 'E07r6', 'E07r7', 'E07r8', 'E07r9', 'E07r99']",None of the above,,,Yes,
63,E08r99,"['E08r1', 'E08r10', 'E08r11', 'E08r12', 'E08r13', 'E08r14', 'E08r15', 'E08r16', 'E08r17', 'E08r18', 'E08r2', 'E08r3', 'E08r4', 'E08r5', 'E08r6', 'E08r7', 'E08r8', 'E08r9', 'E08r99']",None of the above,,,Yes,
64,F01r99,"['F01r1', 'F01r10', 'F01r11', 'F01r12', 'F01r13', 'F01r14', 'F01r15', 'F01r16', 'F01r17', 'F01r18', 'F01r19', 'F01r2', 'F01r20', 'F01r21', 'F01r22', 'F01r23', 'F01r24', 'F01r25', 'F01r26', 'F01r27', 'F01r28', 'F01r29', 'F01r3', 'F01r30', 'F01r4', 'F01r5', 'F01r6', 'F01r7', 'F01r8', 'F01r9', 'F01r98', 'F01r99']",None of the above,,,Yes,
65,F03r99,"['F03r1', 'F03r10', 'F03r11', 'F03r12', 'F03r13', 'F03r14', 'F03r15', 'F03r16', 'F03r17', 'F03r18', 'F03r19', 'F03r2', 'F03r20', 'F03r21', 'F03r22', 'F03r23', 'F03r24', 'F03r25', 'F03r26', 'F03r27', 'F03r28', 'F03r29', 'F03r3', 'F03r30', 'F03r4', 'F03r5', 'F03r6', 'F03r7', 'F03r8', 'F03r9', 'F03r99']",None of the above,,,Yes,
66,F04r99,"['F04r1', 'F04r10', 'F04r11', 'F04r12', 'F04r13', 'F04r14', 'F04r15', 'F04r16', 'F04r17', 'F04r18', 'F04r19', 'F04r2', 'F04r20', 'F04r21', 'F04r22', 'F04r23', 'F04r24', 'F04r25', 'F04r26', 'F04r27', 'F04r28', 'F04r3', 'F04r4', 'F04r5', 'F04r6', 'F04r7', 'F04r8', 'F04r9', 'F04r98', 'F04r99']",None of the above,,,Yes,
67,F05r99,"['F05r1', 'F05r10', 'F05r11', 'F05r12', 'F05r13', 'F05r14', 'F05r15', 'F05r16', 'F05r17', 'F05r18', 'F05r19', 'F05r2', 'F05r20', 'F05r21', 'F05r22', 'F05r23', 'F05r24', 'F05r25', 'F05r26', 'F05r27', 'F05r28', 'F05r3', 'F05r4', 'F05r5', 'F05r6', 'F05r7', 'F05r8', 'F05r9', 'F05r98', 'F05r99']",None of the above,,,Yes,
68,hAge,['A03'],Recoding,Single to Single,hAge is a grouping of the age in A03,Yes,
69,A11_Region,['A11'],Recoding,Single to Single,A11_Region is a grouping of the regions in A11,Yes,
70,hEthnicity,"['A15r1', 'A15r2', 'A15r3', 'A15r4', 'A15r5', 'A15r6', 'A15r7', 'A15r8', 'A15r99']",Recoding,Multi to Single,hEthnicity contaisn ethnicity from A15r columns. Answer must make sense,Yes,
71,hQuota,"['B12', 'B01r3', 'B05', 'B03r3']",Recoding,Multi to Single,"GenPop includes individuals where B01 ≠ 3 or B12 < $1,500, while Fine Jewelry Buyers are defined as B01 = 3, B03_3 ≥ $500, B05 ≠ 2, and B12 ≥ $1,500.",Yes,
72,C01_FLAG,['C01'],Recoding,Single to Single,C01_FLAG flags is C01>=1,Yes,
73,hD21_Netsr1,"['D21r1', 'D21r10', 'D21r11', 'D21r12', 'D21r13', 'D21r14', 'D21r15', 'D21r16', 'D21r17', 'D21r18', 'D21r19', 'D21r2', 'D21r20', 'D21r21', 'D21r22', 'D21r23', 'D21r24', 'D21r25', 'D21r26', 'D21r27', 'D21r28', 'D21r3', 'D21r4', 'D21r5', 'D21r6', 'D21r7', 'D21r8', 'D21r9', 'D21r98', 'D21r99']",Recoding,Multi to Single,"Heritage: Boucheron, Buccellati, Cartier, Chaumet, Chopard, Damiani, De Beers, Fred, Graff, H. Stern, Harry Winston, Mikimoto, Paspaley, Piaget, Tiffany & Co, Van Cleef & Arpels
",Yes,
74,hD21_Netsr2,"['D21r1', 'D21r10', 'D21r11', 'D21r12', 'D21r13', 'D21r14', 'D21r15', 'D21r16', 'D21r17', 'D21r18', 'D21r19', 'D21r2', 'D21r20', 'D21r21', 'D21r22', 'D21r23', 'D21r24', 'D21r25', 'D21r26', 'D21r27', 'D21r28', 'D21r3', 'D21r4', 'D21r5', 'D21r6', 'D21r7', 'D21r8', 'D21r9', 'D21r98', 'D21r99']",Recoding,Multi to Single,"Contemporary: David Yurman, Marco Bicego, Messika, Pomellato, Repossi, Roberto Coin
 If D21r are NaNs, then recoding is nan",Yes,
75,hD21_Netsr3,"['D21r1', 'D21r10', 'D21r11', 'D21r12', 'D21r13', 'D21r14', 'D21r15', 'D21r16', 'D21r17', 'D21r18', 'D21r19', 'D21r2', 'D21r20', 'D21r21', 'D21r22', 'D21r23', 'D21r24', 'D21r25', 'D21r26', 'D21r27', 'D21r28', 'D21r3', 'D21r4', 'D21r5', 'D21r6', 'D21r7', 'D21r8', 'D21r9', 'D21r98', 'D21r99']",Recoding,Multi to Single,"Fashion: Chanel, Dior, Gucci, Hermes, Louis Vuitton
",Yes,
76,hD29,['D29'],Recoding,Single to Single,Recode to PEARL CONSIDERERS is high score in D29,Yes,
77,hD31r1,"['D31r1', 'D31r2', 'D31r3', 'D31r4']",Recoding,Multi to Single,D31r1 = yes or D31r2 = yes should recode hD31r1 to PEARLS,Yes,
78,hD31r2,"['D31r1', 'D31r2', 'D31r3', 'D31r4']",Recoding,Multi to Single,D31r3 = yes or D31r4 = yes should recode hD31r2 to JEWELRY WITH PEARLS,Yes,
79,hF04_Netsr1,"['F04r1', 'F04r10', 'F04r11', 'F04r12', 'F04r13', 'F04r14', 'F04r15', 'F04r16', 'F04r17', 'F04r18', 'F04r19', 'F04r2', 'F04r20', 'F04r21', 'F04r22', 'F04r23', 'F04r24', 'F04r25', 'F04r26', 'F04r27', 'F04r28', 'F04r3', 'F04r4', 'F04r5', 'F04r6', 'F04r7', 'F04r8', 'F04r9', 'F04r98', 'F04r99']",Recoding,Multi to Single,"Heritage: Boucheron, Buccellati, Cartier, Chaumet, Chopard, Damiani, De Beers, Fred, Graff, H. Stern, Harry Winston, Mikimoto, Paspaley, Piaget, Tiffany & Co, Van Cleef & Arpels
",Yes,
80,hF04_Netsr2,"['F04r1', 'F04r10', 'F04r11', 'F04r12', 'F04r13', 'F04r14', 'F04r15', 'F04r16', 'F04r17', 'F04r18', 'F04r19', 'F04r2', 'F04r20', 'F04r21', 'F04r22', 'F04r23', 'F04r24', 'F04r25', 'F04r26', 'F04r27', 'F04r28', 'F04r3', 'F04r4', 'F04r5', 'F04r6', 'F04r7', 'F04r8', 'F04r9', 'F04r98', 'F04r99']",Recoding,Multi to Single,"Contemporary: David Yurman, Marco Bicego, Messika, Pomellato, Repossi, Roberto Coin
 If D21r are NaNs, then recoding is nan",Yes,
81,hF04_Netsr3,"['F04r1', 'F04r10', 'F04r11', 'F04r12', 'F04r13', 'F04r14', 'F04r15', 'F04r16', 'F04r17', 'F04r18', 'F04r19', 'F04r2', 'F04r20', 'F04r21', 'F04r22', 'F04r23', 'F04r24', 'F04r25', 'F04r26', 'F04r27', 'F04r28', 'F04r3', 'F04r4', 'F04r5', 'F04r6', 'F04r7', 'F04r8', 'F04r9', 'F04r98', 'F04r99']",Recoding,Multi to Single,"Fashion: Chanel, Dior, Gucci, Hermes, Louis Vuitton
",Yes,
82,hF07,['F07'],Recoding,Single to Single,"IF F07 = (1) OR (2), CLASSIFY AS PEARL NON-CONSIDERERS IF F07 = (3) OR (4) OR (5), CLASSIFY AS PEARL CONSIDERERS",Yes,
